"","index","frequency"
"1",1,277
"2",2,159
"3",3,128
"4",4,59
"5",5,42
"6",6,51
"7",7,26
"8",8,28
"9",9,13
"10",10,23
"11",11,12
"12",12,13
"13",13,9
"14",14,16
"15",15,6
"16",16,7
"17",17,9
"18",18,1
"19",19,3
"20",20,8
"21",21,4
"22",22,4
"23",23,8
"24",24,1
"25",25,4
"26",26,2
"27",27,2
"28",28,2
"29",29,1
"30",30,3
"31",31,4
"32",32,3
"33",33,1
"34",37,1
"35",39,1
"36",41,3
"37",42,1
"38",43,2
"39",44,1
"40",46,1
"41",47,2
"42",48,2
"43",49,2
"44",50,1
"45",51,2
"46",53,1
"47",54,1
"48",55,2
"49",56,1
"50",58,1
"51",61,2
"52",62,2
"53",67,2
"54",68,1
"55",74,1
"56",75,2
"57",78,1
"58",83,3
"59",84,1
"60",85,1
"61",87,2
"62",99,1
"63",101,1
"64",111,1
"65",114,1
"66",119,1
"67",121,1
"68",126,1
"69",128,1
"70",132,1
"71",138,1
"72",139,1
"73",145,1
"74",146,1
"75",157,1
"76",163,1
"77",166,1
"78",168,1
"79",169,1
"80",174,1
"81",181,1
"82",190,1
"83",192,1
"84",195,1
"85",209,1
"86",211,1
"87",217,2
"88",265,1
